Datum;Cas;Teplota;Vlhkost
2025.09.03;12:08:02;25,4;49
2025.09.03;12:08:16;25,4;49
2025.09.03;12:08:53;25,4;49
2025.09.03;12:09:33;25,4;49
2025.09.03;12:09:50;25,4;49
2025.09.03;12:10:28;25,4;49
2025.09.03;12:11:38;25,4;49
2025.09.03;12:11:50;25,4;49
2025.09.03;12:12:25;25,4;49
2025.09.03;12:15:00;25,5;48
2025.09.03;12:15:40;25,5;48
2025.09.03;12:15:53;27,3;86
2025.09.03;12:16:25;28,1;88
2025.09.03;13:12:19;25,8;46
2025.09.03;13:12:33;25,8;46
2025.09.03;13:12:58;25,9;46
2025.09.03;13:21:00;25,8;45
2025.09.03;13:22:46;25,8;44
2025.09.03;13:23:44;25,8;44
2025.09.03;13:24:34;25,8;44
2025.09.03;13:24:46;25,8;44
2025.09.03;13:30:40;25,8;44
2025.09.03;13:30:56;25,8;44
2025.09.03;13:43:18;25,9;42
2025.09.03;13:43:48;25,9;42
2025.09.03;13:44:17;25,9;42
2025.09.03;13:47:13;25,9;42
2025.09.03;13:47:42;25,9;42
2025.09.03;13:48:06;25,9;42
2025.09.03;13:48:30;25,9;42
2025.09.03;13:48:43;25,9;41
2025.09.03;13:49:02;25,9;41
2025.09.03;13:49:24;25,8;41
2025.09.03;13:49:45;25,9;41
2025.09.03;13:51:06;25,9;41
2025.09.03;13:51:20;25,9;41
2025.09.03;13:54:25;25,9;41
2025.09.03;13:56:25;25,9;42
2025.09.03;13:57:32;25,9;42
2025.09.03;13:58:41;25,9;41
2025.09.03;13:59:30;25,9;41
2025.09.03;14:00:07;25,9;41
2025.09.03;14:01:33;25,8;41
2025.09.03;14:02:04;25,8;41
2025.09.03;14:02:59;25,9;41
2025.09.03;14:03:37;25,9;41
2025.09.03;14:30:03;26,5;40
2025.09.03;14:30:29;26,5;40
2025.09.03;14:31:00;26,5;40
2025.09.03;14:31:43;26,5;40
2025.09.03;14:32:13;26,5;40
2025.09.03;14:32:34;26,5;40
2025.09.03;14:32:59;26,4;40
2025.09.03;14:33:22;26,4;39
2025.09.03;14:33:57;26,4;39
2025.09.03;14:37:59;26,3;39
2025.09.03;14:38:21;26,3;39
2025.09.03;14:38:58;26,3;39
2025.09.03;14:40:06;26,3;39
2025.09.03;14:40:44;26,3;39
2025.09.03;14:41:39;26,3;39
2025.09.03;14:42:15;26,3;39
2025.09.03;14:42:47;26,3;39
2025.09.03;14:46:52;26,2;38
2025.09.03;16:57:04;27,8;40
2025.09.03;16:57:53;27,8;40
2025.09.03;16:58:09;27,8;40
2025.09.03;16:59:45;27,8;40
2025.09.03;17:01:37;27,8;40
2025.09.03;17:02:47;27,8;40
2025.09.03;17:05:54;27,8;40
2025.09.03;17:08:11;27,8;40
2025.09.03;17:08:28;27,8;40
2025.09.03;17:09:37;27,8;40
2025.09.03;17:13:20;27,8;40
2025.09.03;17:14:02;27,8;40
2025.09.03;17:14:26;27,8;40
2025.09.03;17:15:40;27,8;40
2025.09.03;17:15:52;27,8;40
2025.09.03;17:16:15;27,8;40
2025.09.03;17:16:54;27,8;40
2025.09.03;17:17:40;27,8;40
2025.09.03;17:17:59;27,8;40
2025.09.03;17:18:16;27,8;40
2025.09.03;17:19:18;27,8;40
2025.09.03;17:19:30;27,8;40
2025.09.03;17:20:59;27,8;40
2025.09.03;17:21:44;27,8;40
2025.09.03;17:54:02;27,8;40
2025.09.03;17:54:14;27,8;40
2025.09.03;17:54:54;27,8;41
2025.09.03;17:57:06;27,8;40
2025.09.03;17:57:06;27,8;40
2025.09.03;17:58:05;27,8;40
2025.09.03;17:59:05;27,8;41
2025.09.03;17:59:55;27,8;41
2025.09.03;18:06:16;27,8;40
2025.09.03;18:06:16;27,8;40
2025.09.03;18:06:16;27,8;40
2025.09.03;18:06:16;27,8;40
2025.09.03;18:06:16;27,8;40
2025.09.03;18:06:16;27,8;40
2025.09.03;18:26:50;27,7;41
2025.09.03;18:28:38;27,7;41
2025.09.03;18:28:38;27,7;41
2025.09.03;18:28:38;27,7;41
2025.09.03;18:28:49;27,7;41
2025.09.03;18:28:59;27,7;41
2025.09.03;18:29:08;27,7;41
2025.09.03;18:29:51;27,7;41
2025.09.03;18:37:11;27,7;41
2025.09.03;19:53:46;25,8;47
2025.09.03;19:55:16;25,8;47
2025.09.03;19:55:16;25,8;47
2025.09.03;19:55:16;25,8;47
2025.09.03;19:55:16;25,8;47
2025.09.03;19:55:38;25,8;47
2025.09.03;19:56:30;25,8;47
2025.09.03;20:01:31;25,8;47
2025.09.03;20:01:31;25,8;47
2025.09.03;20:01:31;25,8;47
2025.09.03;20:01:31;25,8;47
2025.09.03;20:01:31;25,8;47
2025.09.03;20:01:31;25,8;47
2025.09.03;20:01:31;25,8;47
2025.09.03;20:01:31;25,8;47
2025.09.03;20:01:31;25,8;47
2025.09.03;20:02:20;25,8;47
2025.09.03;20:02:20;25,8;47
2025.09.03;20:07:31;25,8;47
2025.09.03;20:07:31;25,8;47
2025.09.03;20:09:24;25,7;47
2025.09.03;20:10:13;25,7;47
2025.09.03;20:11:17;25,7;47
2025.09.03;20:14:07;25,7;47
2025.09.03;20:14:24;25,7;47
2025.09.03;20:14:34;25,7;47
2025.09.03;20:14:46;25,7;47
2025.09.03;20:15:11;25,7;47
2025.09.03;20:17:39;25,7;47
2025.09.03;20:17:39;25,7;47
2025.09.03;20:17:39;25,7;47
2025.09.03;20:17:39;25,7;47
2025.09.03;20:17:39;25,7;47
2025.09.03;20:17:39;25,6;47
2025.09.03;20:18:56;25,6;47
2025.09.03;20:20:55;25,6;47
2025.09.03;20:20:55;25,6;47
2025.09.03;20:20:55;25,6;47
2025.09.03;20:23:04;25,6;47
2025.09.03;20:24:24;25,6;47
2025.09.03;20:24:31;25,6;47
2025.09.03;20:27:28;25,6;47
2025.09.03;20:27:28;25,6;47
2025.09.03;20:27:28;25,6;47
