Datum;Cas;Teplota;Vlhkost
2025.09.03;20:43:59;25,4;47
2025.09.03;20:45:08;25,5;47
2025.09.03;20:47:56;25,4;47
2025.09.03;20:50:16;25,4;47
2025.09.03;20:50:16;25,4;47
2025.09.03;20:50:16;25,4;47
2025.09.03;20:50:16;25,4;47
2025.09.03;20:52:05;25,4;47
2025.09.03;20:52:05;25,4;47
2025.09.03;21:02:19;25,4;47
2025.09.03;21:03:04;25,4;47
2025.09.03;21:03:41;25,4;47
2025.09.03;21:04:29;25,4;47
2025.09.03;21:06:12;25,4;47
2025.09.03;21:06:49;25,4;47
2025.09.03;21:47:01;25,2;47
2025.09.03;21:51:32;25,1;47
2025.09.03;21:51:32;25,1;47
2025.09.03;21:54:46;25,1;47
2025.09.03;22:00:32;25,1;47
2025.09.03;22:02:12;25,1;47
2025.09.03;22:13:26;25,0;47
2025.09.03;22:13:43;25,0;47
2025.09.03;22:14:55;25,0;47
2025.09.03;22:19:09;25,0;47
2025.09.03;22:19:09;25,0;47
2025.09.03;22:19:09;25,0;47
2025.09.03;22:23:03;25,0;47
2025.09.03;22:30:09;25,0;47
2025.09.03;22:30:09;24,9;47
2025.09.03;22:30:09;24,9;47
2025.09.03;22:30:09;24,9;47
2025.09.03;22:30:09;24,9;47
2025.09.03;22:30:09;24,9;47
2025.09.03;22:30:09;24,9;47
2025.09.03;22:30:28;24,9;47
2025.09.03;22:30:39;24,9;47
2025.09.03;22:38:23;24,9;47
2025.09.03;22:38:23;24,9;47
2025.09.03;22:38:23;24,9;47
2025.09.03;22:38:23;24,9;47
2025.09.03;22:38:23;24,9;47
2025.09.03;22:38:23;24,9;47
2025.09.03;22:38:23;24,9;47
2025.09.03;22:38:49;24,9;47
2025.09.03;22:39:17;24,9;47
2025.09.03;22:39:44;24,9;47
